Index,fsr1,fsr2,fsr3,fsr4,Posture,Age,Gender,Weight
307,1557,2143,1470,912,lean_forward,21,Male,65kg
308,1567,2139,1487,909,lean_forward,21,Male,65kg
309,1565,2134,1517,860,lean_forward,21,Male,65kg
310,1535,2138,1519,897,lean_forward,21,Male,65kg
311,1554,2128,1489,977,lean_forward,21,Male,65kg
312,1535,2142,1505,975,lean_forward,21,Male,65kg
313,1555,2140,1495,954,lean_forward,21,Male,65kg
314,1561,2145,1467,910,lean_forward,21,Male,65kg
315,1563,2129,1515,947,lean_forward,21,Male,65kg
316,1535,2126,1523,929,lean_forward,21,Male,65kg
317,1520,2135,1478,927,lean_forward,21,Male,65kg
318,1562,2145,1492,957,lean_forward,21,Male,65kg
319,1566,2146,1467,945,lean_forward,21,Male,65kg
320,1535,2138,1475,911,lean_forward,21,Male,65kg
321,1557,2149,1471,838,lean_forward,21,Male,65kg
322,1535,2155,1499,875,lean_forward,21,Male,65kg
323,1535,2158,1505,843,lean_forward,21,Male,65kg
324,1535,2155,1510,870,lean_forward,21,Male,65kg
325,1535,2149,1511,853,lean_forward,21,Male,65kg
326,1567,2159,1461,888,lean_forward,21,Male,65kg
327,1556,2151,1514,816,lean_forward,21,Male,65kg
328,1535,2174,1535,848,lean_forward,21,Male,65kg
329,1535,2170,1520,845,lean_forward,21,Male,65kg
330,1535,2160,1471,867,lean_forward,21,Male,65kg
331,1535,2167,1482,853,lean_forward,21,Male,65kg
332,1535,2163,1486,874,lean_forward,21,Male,65kg
333,1571,2160,1497,859,lean_forward,21,Male,65kg
334,1562,2175,1488,830,lean_forward,21,Male,65kg
335,1556,2166,1484,832,lean_forward,21,Male,65kg
336,1567,2175,1477,848,lean_forward,21,Male,65kg
337,1563,2177,1488,845,lean_forward,21,Male,65kg
338,1574,2174,1488,837,lean_forward,21,Male,65kg
339,1574,2187,1485,817,lean_forward,21,Male,65kg
340,1574,2171,1481,799,lean_forward,21,Male,65kg
341,1565,2171,1481,848,lean_forward,21,Male,65kg
342,1556,2180,1491,891,lean_forward,21,Male,65kg
343,1574,2177,1486,911,lean_forward,21,Male,65kg
344,1571,2169,1532,845,lean_forward,21,Male,65kg
345,1571,2163,1488,862,lean_forward,21,Male,65kg
346,1558,2174,1483,842,lean_forward,21,Male,65kg
347,1584,2169,1478,878,lean_forward,21,Male,65kg
348,1570,2171,1486,880,lean_forward,21,Male,65kg
349,1555,2173,1488,900,lean_forward,21,Male,65kg
350,1575,2176,1488,880,lean_forward,21,Male,65kg
351,1568,2162,1481,848,lean_forward,21,Male,65kg
352,1555,2167,1483,899,lean_forward,21,Male,65kg
353,1561,2168,1481,907,lean_forward,21,Male,65kg
354,1573,2166,1479,885,lean_forward,21,Male,65kg
355,1565,2177,1519,939,lean_forward,21,Male,65kg
356,1558,2157,1529,927,lean_forward,21,Male,65kg
357,1567,2167,1535,966,lean_forward,21,Male,65kg
358,1583,2169,1535,951,lean_forward,21,Male,65kg
359,1563,2164,1522,947,lean_forward,21,Male,65kg
360,1569,2174,1523,895,lean_forward,21,Male,65kg
361,1574,2160,1531,898,lean_forward,21,Male,65kg
362,1567,2157,1533,941,lean_forward,21,Male,65kg
363,1557,2167,1535,917,lean_forward,21,Male,65kg
364,1575,2170,1534,902,lean_forward,21,Male,65kg
365,1579,2160,1535,934,lean_forward,21,Male,65kg
366,1563,2160,1529,913,lean_forward,21,Male,65kg
367,1611,2176,1557,733,lean_forward,21,Male,65kg
368,1600,2176,1505,650,lean_forward,21,Male,65kg
369,1613,2177,1485,671,lean_forward,21,Male,65kg
370,1595,2189,1495,594,lean_forward,21,Male,65kg
371,1584,2172,1507,725,lean_forward,21,Male,65kg
372,1571,2160,1502,748,lean_forward,21,Male,65kg
373,1591,2169,1505,695,lean_forward,21,Male,65kg
374,1607,2198,1467,592,lean_forward,21,Male,65kg
375,1627,2178,1463,592,lean_forward,21,Male,65kg
376,1613,2160,1482,612,lean_forward,21,Male,65kg
377,1603,2189,1467,645,lean_forward,21,Male,65kg
378,1611,2184,1467,666,lean_forward,21,Male,65kg
379,1602,2172,1461,669,lean_forward,21,Male,65kg
380,1605,2188,1459,629,lean_forward,21,Male,65kg
381,1600,2196,1466,643,lean_forward,21,Male,65kg
382,1607,2186,1454,688,lean_forward,21,Male,65kg
383,1627,2176,1457,656,lean_forward,21,Male,65kg
384,1603,2175,1456,691,lean_forward,21,Male,65kg
385,1597,2175,1471,804,lean_forward,21,Male,65kg
386,1614,2178,1488,816,lean_forward,21,Male,65kg
387,1602,2178,1458,825,lean_forward,21,Male,65kg
388,1600,2187,1463,831,lean_forward,21,Male,65kg
389,1607,2189,1457,803,lean_forward,21,Male,65kg
390,1607,2181,1471,785,lean_forward,21,Male,65kg
391,1599,2187,1456,550,lean_forward,21,Male,65kg
392,1597,2172,1456,699,lean_forward,21,Male,65kg
393,1601,2167,1456,639,lean_forward,21,Male,65kg
394,1600,2171,1469,752,lean_forward,21,Male,65kg
395,1575,2174,1462,734,lean_forward,21,Male,65kg
396,1585,2161,1455,763,lean_forward,21,Male,65kg
397,1600,2167,1458,723,lean_forward,21,Male,65kg
398,1583,2159,1469,738,lean_forward,21,Male,65kg
399,1599,2158,1473,753,lean_forward,21,Male,65kg
400,1595,2166,1470,737,lean_forward,21,Male,65kg
401,1615,2173,1457,720,lean_forward,21,Male,65kg
402,1601,2158,1467,720,lean_forward,21,Male,65kg
403,1600,2166,1469,759,lean_forward,21,Male,65kg
404,1600,2166,1477,805,lean_forward,21,Male,65kg
405,1604,2163,1476,688,lean_forward,21,Male,65kg
406,1649,2235,1410,401,lean_forward,21,Male,65kg
407,2000,2375,989,304,lean_forward,21,Male,65kg
408,1623,2187,1297,498,lean_forward,21,Male,65kg
409,1584,2171,1377,1164,lean_forward,21,Male,65kg
410,1597,2235,1419,1099,lean_forward,21,Male,65kg
411,1607,2245,1402,1273,lean_forward,21,Male,65kg
412,1581,2253,1441,1361,lean_forward,21,Male,65kg
413,1580,2256,1450,1366,lean_forward,21,Male,65kg
414,1616,2268,1458,1136,lean_forward,21,Male,65kg
415,1635,2275,1478,1056,lean_forward,21,Male,65kg
416,1642,2263,1487,1115,lean_forward,21,Male,65kg
417,1648,2278,1475,1136,lean_forward,21,Male,65kg
418,1616,2264,1472,1167,lean_forward,21,Male,65kg
419,1986,2356,1562,626,lean_forward,21,Male,65kg
420,1585,2230,1730,1317,lean_forward,21,Male,65kg
421,1565,1997,1819,1321,lean_forward,21,Male,65kg
422,1606,2069,1857,1373,lean_forward,21,Male,65kg
423,1598,2153,1840,1335,lean_forward,21,Male,65kg
424,1603,2146,1841,1338,lean_forward,21,Male,65kg
425,1630,2145,1853,1341,lean_forward,21,Male,65kg
426,1590,2407,1749,997,lean_forward,21,Male,65kg
427,1675,2277,1644,1103,lean_forward,21,Male,65kg
428,1653,2257,1659,1229,lean_forward,21,Male,65kg
429,1639,2241,1691,1248,lean_forward,21,Male,65kg
430,1643,2249,1703,1269,lean_forward,21,Male,65kg
431,1648,2239,1705,1285,lean_forward,21,Male,65kg
432,1662,2251,1702,1294,lean_forward,21,Male,65kg
433,1629,2226,1713,1327,lean_forward,21,Male,65kg
434,1633,2240,1713,1296,lean_forward,21,Male,65kg
435,1649,2236,1719,1295,lean_forward,21,Male,65kg
436,1654,2237,1719,1318,lean_forward,21,Male,65kg
437,1639,2234,1728,1298,lean_forward,21,Male,65kg
438,1644,2234,1726,1311,lean_forward,21,Male,65kg
439,1667,2222,1730,1301,lean_forward,21,Male,65kg
440,1880,2265,1754,1337,lean_forward,21,Male,65kg
441,1735,2231,1875,1278,lean_forward,21,Male,65kg
442,1601,2250,1859,1324,lean_forward,21,Male,65kg
443,1601,2224,1882,1323,lean_forward,21,Male,65kg
444,1806,2249,1827,1330,lean_forward,21,Male,65kg
445,2064,2314,1911,752,lean_forward,21,Male,65kg
446,1671,2215,1919,915,lean_forward,21,Male,65kg
447,1647,2193,1897,1248,lean_forward,21,Male,65kg
448,1619,2192,1904,1322,lean_forward,21,Male,65kg
449,1631,2195,1936,1306,lean_forward,21,Male,65kg
450,1623,2190,1937,1310,lean_forward,21,Male,65kg
451,1639,2198,1939,1314,lean_forward,21,Male,65kg
452,1638,2198,1936,1293,lean_forward,21,Male,65kg
453,1628,2191,1939,1285,lean_forward,21,Male,65kg
454,1648,2214,1850,1274,lean_forward,21,Male,65kg
455,1641,2209,1879,1303,lean_forward,21,Male,65kg
456,1643,2224,1914,1296,lean_forward,21,Male,65kg
457,1658,2211,1867,1298,lean_forward,21,Male,65kg
458,1648,2204,1870,1303,lean_forward,21,Male,65kg
