Index,fsr1,fsr2,fsr3,fsr4,Posture,Age,Gender,Weight
324,1251,1623,1763,925,lean_forward,21,Male,65kg
325,1243,1620,1771,896,lean_forward,21,Male,65kg
326,1264,1633,1766,893,lean_forward,21,Male,65kg
327,1263,1626,1776,885,lean_forward,21,Male,65kg
328,1257,1606,1772,934,lean_forward,21,Male,65kg
329,1262,1603,1775,942,lean_forward,21,Male,65kg
330,1261,1606,1776,943,lean_forward,21,Male,65kg
331,1283,1639,1773,899,lean_forward,21,Male,65kg
332,1278,1648,1776,878,lean_forward,21,Male,65kg
333,1261,1626,1778,833,lean_forward,21,Male,65kg
334,1249,1645,1786,875,lean_forward,21,Male,65kg
335,1264,1642,1782,874,lean_forward,21,Male,65kg
336,1263,1643,1787,895,lean_forward,21,Male,65kg
337,1270,1645,1789,903,lean_forward,21,Male,65kg
338,1274,1633,1801,895,lean_forward,21,Male,65kg
339,1277,1621,1797,893,lean_forward,21,Male,65kg
340,1280,1634,1804,889,lean_forward,21,Male,65kg
341,1286,1646,1793,864,lean_forward,21,Male,65kg
342,1267,1635,1808,859,lean_forward,21,Male,65kg
343,1275,1664,1809,870,lean_forward,21,Male,65kg
344,1264,1646,1811,861,lean_forward,21,Male,65kg
345,1279,1632,1814,845,lean_forward,21,Male,65kg
346,1265,1649,1821,835,lean_forward,21,Male,65kg
347,1274,1642,1825,839,lean_forward,21,Male,65kg
348,1280,1637,1815,834,lean_forward,21,Male,65kg
349,1279,1646,1823,817,lean_forward,21,Male,65kg
350,1295,1655,1833,821,lean_forward,21,Male,65kg
351,1271,1648,1829,832,lean_forward,21,Male,65kg
352,1270,1647,1830,815,lean_forward,21,Male,65kg
353,1285,1637,1825,847,lean_forward,21,Male,65kg
354,1280,1646,1827,844,lean_forward,21,Male,65kg
355,1279,1648,1835,817,lean_forward,21,Male,65kg
356,1248,1638,1822,832,lean_forward,21,Male,65kg
357,1200,1665,1826,799,lean_forward,21,Male,65kg
358,1174,1661,1831,730,lean_forward,21,Male,65kg
359,1186,1662,1833,726,lean_forward,21,Male,65kg
360,1187,1648,1835,746,lean_forward,21,Male,65kg
361,1180,1654,1833,722,lean_forward,21,Male,65kg
362,1185,1648,1835,719,lean_forward,21,Male,65kg
363,1182,1648,1840,720,lean_forward,21,Male,65kg
364,1173,1648,1841,730,lean_forward,21,Male,65kg
365,1200,1661,1840,752,lean_forward,21,Male,65kg
366,1203,1681,1840,750,lean_forward,21,Male,65kg
367,1213,1647,1856,759,lean_forward,21,Male,65kg
368,1218,1657,1843,749,lean_forward,21,Male,65kg
369,1258,1666,1827,746,lean_forward,21,Male,65kg
370,1222,1642,1843,741,lean_forward,21,Male,65kg
371,1218,1648,1851,726,lean_forward,21,Male,65kg
372,1187,1648,1841,741,lean_forward,21,Male,65kg
373,1215,1651,1861,741,lean_forward,21,Male,65kg
374,1200,1664,1854,745,lean_forward,21,Male,65kg
375,1202,1643,1854,766,lean_forward,21,Male,65kg
376,1210,1641,1852,785,lean_forward,21,Male,65kg
377,1216,1644,1852,795,lean_forward,21,Male,65kg
378,1200,1646,1856,789,lean_forward,21,Male,65kg
379,1232,1649,1857,787,lean_forward,21,Male,65kg
380,1237,1649,1865,811,lean_forward,21,Male,65kg
381,1230,1655,1858,805,lean_forward,21,Male,65kg
382,1221,1646,1863,786,lean_forward,21,Male,65kg
383,1182,1658,1858,789,lean_forward,21,Male,65kg
384,1183,1642,1863,781,lean_forward,21,Male,65kg
385,1168,1654,1863,784,lean_forward,21,Male,65kg
386,1166,1649,1858,788,lean_forward,21,Male,65kg
387,1168,1637,1857,796,lean_forward,21,Male,65kg
388,1184,1636,1857,791,lean_forward,21,Male,65kg
389,1168,1616,1860,803,lean_forward,21,Male,65kg
390,1202,1632,1856,803,lean_forward,21,Male,65kg
391,1208,1636,1862,794,lean_forward,21,Male,65kg
392,1203,1645,1862,768,lean_forward,21,Male,65kg
393,1211,1636,1859,789,lean_forward,21,Male,65kg
394,1207,1648,1861,769,lean_forward,21,Male,65kg
395,1217,1638,1861,766,lean_forward,21,Male,65kg
396,1210,1637,1863,763,lean_forward,21,Male,65kg
397,1191,1647,1862,784,lean_forward,21,Male,65kg
398,1197,1648,1858,772,lean_forward,21,Male,65kg
399,1198,1648,1867,778,lean_forward,21,Male,65kg
400,1190,1650,1863,772,lean_forward,21,Male,65kg
401,1185,1653,1862,775,lean_forward,21,Male,65kg
402,1332,1650,1856,762,lean_forward,21,Male,65kg
403,1369,1653,1856,709,lean_forward,21,Male,65kg
404,1362,1682,1852,753,lean_forward,21,Male,65kg
405,1355,1659,1862,753,lean_forward,21,Male,65kg
406,1324,1638,1865,752,lean_forward,21,Male,65kg
407,1321,1646,1871,753,lean_forward,21,Male,65kg
408,1307,1617,1867,731,lean_forward,21,Male,65kg
409,1324,1638,1866,720,lean_forward,21,Male,65kg
410,1311,1656,1873,735,lean_forward,21,Male,65kg
411,1320,1638,1870,746,lean_forward,21,Male,65kg
412,1314,1633,1872,775,lean_forward,21,Male,65kg
