,fsr1,fsr2,fsr3,fsr4,posture,age,gender,weight
363,2329,471,915,1622,lean_left,21,Male,65kg
364,2338,383,928,1633,lean_left,21,Male,65kg
365,2372,336,1017,1694,lean_left,21,Male,65kg
366,2376,434,938,1657,lean_left,21,Male,65kg
367,2388,443,847,1617,lean_left,21,Male,65kg
368,2385,435,869,1627,lean_left,21,Male,65kg
369,2385,464,917,1651,lean_left,21,Male,65kg
370,2401,479,916,1658,lean_left,21,Male,65kg
371,2402,464,949,1675,lean_left,21,Male,65kg
372,2368,449,807,1587,lean_left,21,Male,65kg
373,2378,471,780,1579,lean_left,21,Male,65kg
374,2371,496,746,1558,lean_left,21,Male,65kg
375,2406,509,801,1603,lean_left,21,Male,65kg
376,2384,511,816,1600,lean_left,21,Male,65kg
377,2391,510,756,1573,lean_left,21,Male,65kg
378,2384,525,845,1614,lean_left,21,Male,65kg
379,2383,528,863,1623,lean_left,21,Male,65kg
380,2386,505,798,1592,lean_left,21,Male,65kg
381,2378,538,745,1561,lean_left,21,Male,65kg
382,2383,528,812,1597,lean_left,21,Male,65kg
383,2395,494,816,1605,lean_left,21,Male,65kg
384,2390,511,773,1581,lean_left,21,Male,65kg
385,2391,527,844,1617,lean_left,21,Male,65kg
386,2407,506,720,1563,lean_left,21,Male,65kg
387,2368,413,859,1613,lean_left,21,Male,65kg
388,2386,119,790,1588,lean_left,21,Male,65kg
389,2396,53,642,1519,lean_left,21,Male,65kg
390,2398,145,669,1533,lean_left,21,Male,65kg
391,2396,475,698,1547,lean_left,21,Male,65kg
392,2290,493,767,1528,lean_left,21,Male,65kg
393,2273,465,720,1496,lean_left,21,Male,65kg
394,2320,497,0,1160,lean_left,21,Male,65kg
395,2317,470,0,1158,lean_left,21,Male,65kg
396,2321,483,0,1160,lean_left,21,Male,65kg
397,2298,562,0,1149,lean_left,21,Male,65kg
398,2314,580,0,1157,lean_left,21,Male,65kg
399,2306,585,66,1186,lean_left,21,Male,65kg
400,2320,579,84,1202,lean_left,21,Male,65kg
401,2307,599,83,1195,lean_right,21,Male,65kg
402,2278,530,713,1495,lean_right,21,Male,65kg
403,1610,688,2042,1826,lean_right,21,Male,65kg
404,1305,676,2291,1798,lean_right,21,Male,65kg
405,1386,815,2496,1941,lean_right,21,Male,65kg
406,1479,776,2480,1979,lean_right,21,Male,65kg
407,1469,727,2493,1981,lean_right,21,Male,65kg
408,1618,699,2513,2065,lean_right,21,Male,65kg
409,1573,635,2193,1883,lean_right,21,Male,65kg
410,1455,717,1926,1690,lean_right,21,Male,65kg
411,1496,647,1939,1717,lean_right,21,Male,65kg
412,1520,640,1965,1742,lean_right,21,Male,65kg
413,1568,650,1983,1775,lean_right,21,Male,65kg
414,1569,699,1999,1784,lean_right,21,Male,65kg
415,1535,594,2000,1767,lean_right,21,Male,65kg
416,1501,562,2001,1751,lean_right,21,Male,65kg
417,1506,629,1995,1750,lean_right,21,Male,65kg
418,1522,631,2022,1772,lean_right,21,Male,65kg
419,1506,673,2034,1770,lean_right,21,Male,65kg
420,1514,687,2021,1767,lean_right,21,Male,65kg
421,1535,679,2000,1767,lean_right,21,Male,65kg
422,1555,656,2035,1795,lean_right,21,Male,65kg
423,1555,643,2054,1804,lean_right,21,Male,65kg
424,1614,755,2384,1999,lean_right,21,Male,65kg
425,1617,682,2224,1920,lean_right,21,Male,65kg
426,1623,695,2024,1823,lean_right,21,Male,65kg
427,1594,691,2067,1830,lean_right,21,Male,65kg
428,1623,671,2063,1843,lean_right,21,Male,65kg
429,1664,909,2288,1976,lean_right,21,Male,65kg
430,1651,645,2096,1873,lean_right,21,Male,65kg
431,1721,739,2102,1911,lean_right,21,Male,65kg
432,1714,791,2076,1895,lean_right,21,Male,65kg
433,1561,816,2362,1961,lean_right,21,Male,65kg
434,1663,751,2401,2032,lean_right,21,Male,65kg
435,1702,789,2433,2067,lean_right,21,Male,65kg
436,1601,839,2441,2021,lean_right,21,Male,65kg
437,1669,802,2442,2055,lean_right,21,Male,65kg
438,1668,821,2444,2056,lean_right,21,Male,65kg
439,1709,828,2559,2134,lean_right,21,Male,65kg
440,1763,826,2550,2156,lean_right,21,Male,65kg
441,1808,845,2415,2111,lean_right,21,Male,65kg
442,1883,870,2506,2194,lean_right,21,Male,65kg
443,1847,842,2439,2143,lean_right,21,Male,65kg
444,1864,880,2455,2159,lean_right,21,Male,65kg
445,1899,836,2217,2058,lean_right,21,Male,65kg
446,1918,866,2123,2020,lean_right,21,Male,65kg
447,1922,833,2096,2009,lean_right,21,Male,65kg
448,1909,912,2164,2036,lean_right,21,Male,65kg
449,1915,720,2324,2119,lean_right,21,Male,65kg
450,1874,704,2409,2141,lean_right,21,Male,65kg
451,1915,869,2369,2142,lean_right,21,Male,65kg
452,1872,885,2480,2176,lean_right,21,Male,65kg
453,1926,912,2448,2187,lean_right,21,Male,65kg
454,1930,912,2463,2196,lean_right,21,Male,65kg
455,1936,891,2448,2192,lean_right,21,Male,65kg
456,1937,922,2432,2184,lean_right,21,Male,65kg
457,1936,907,2436,2186,lean_right,21,Male,65kg
458,1995,931,2474,2234,lean_right,21,Male,65kg
459,1978,867,2448,2213,lean_right,21,Male,65kg
460,1990,889,2480,2235,lean_right,21,Male,65kg
461,1946,874,2480,2213,lean_right,21,Male,65kg
462,533,976,2599,1566,lean_right,21,Male,65kg
463,1072,870,2135,1603,lean_right,21,Male,65kg
464,1605,817,2219,1912,lean_right,21,Male,65kg
465,1663,567,2239,1951,lean_right,21,Male,65kg
466,1535,705,2201,1868,lean_right,21,Male,65kg
467,1504,750,2227,1865,lean_right,21,Male,65kg
468,1521,747,2223,1872,lean_right,21,Male,65kg
469,1634,701,2224,1929,lean_right,21,Male,65kg
